# largest_d
rank	n	d	H	d_score	log10_H_over_n	line
1	936384844	5508491	307230620036198887600331929948719978247989064117127246230786295942	696481.657557	56.5160101216	936384844 = (307230620036198887600331929948719978247989064117127246230786295941)^3 + (-307230620036198887600331929948719978247989064117127246230786295942)^3 + (130902570640549046522477828192204284025431096946153142328348471)^3 + (-130902570640549046522477828192204284025431096946153142322839980)^3
2	630252220	5170439	18858029052501056	662214.501536	7.47598191636	630252220 = (-18858029052501056)^3 + (18858029052501055)^3 + (8293402178362)^3 + (-8293397007923)^3
3	172116347	3042818	63747168714622448670036755	407337.623885	17.5686387806	172116347 = (-63747168714622448670036754)^3 + (63747168714622448670036755)^3 + (-36544574725988720884576)^3 + (36544574725988717841758)^3
4	720368492	2483135	78953103494070923714537	316643.131904	14.0398144969	720368492 = (-78953103494070923714536)^3 + (78953103494070923714537)^3 + (50103612544231658531)^3 + (-50103612544234141666)^3
5	62809898	2259611	244737825657758423	313792.176841	9.59067300915	62809898 = (-244737825657758422)^3 + (244737825657758423)^3 + (-162811193585941)^3 + (162811191326330)^3
6	424484014	1890905	37008265096399390231005769596959474319560	245383.420332	31.9404373869	424484014 = (37008265096399390231005769596959474319559)^3 + (-37008265096399390231005769596959474319560)^3 + (26913109057467297459685856346096885007)^3 + (-26913109057467297459685856346094994102)^3
7	984206885	1774796	184787828980728235750426328	224042.231822	17.2735869643	984206885 = (-184787828980728235750426327)^3 + (184787828980728235750426328)^3 + (-138707243914761671520133)^3 + (138707243914761669745337)^3
8	233143708	1759577	1419730088522003	233061.608659	6.78458208713	233143708 = (-1419730088522003)^3 + (1419730088522002)^3 + (1070291324626)^3 + (-1070289565049)^3
9	200441272	1539353	491320336729200999889914001555406	204969.634889	24.3893775907	200441272 = (491320336729200999889914001555405)^3 + (-491320336729200999889914001555406)^3 + (396000404567389433127786127294)^3 + (-396000404567389433127784587941)^3
10	699315232	1421681	59936879153828	181464.955449	4.93302113813	699315232 = (59936879153827)^3 + (-59936879153828)^3 + (50268877501)^3 + (-50267455820)^3
11	812091910	1387697	986451037122694867425279271824287242944909678426117728996	176266.808707	48.0844703496	812091910 = (-986451037122694867425279271824287242944909678426117728996)^3 + (986451037122694867425279271824287242944909678426117728995)^3 + (837390845972702319308120654616405148044065589143954854)^3 + (-837390845972702319308120654616405148044065589142567157)^3
