# largest_d
rank	n	d	H	H_digits	log10_H_over_n	xs
1	4243648	731165	935352814427	12	5.343236104270	935352814426,-935352814427,1094240722,-1093509557
2	1082687	561698	127252226	9	2.070162465944	-127252225,127252226,-331216,-230482
3	5547010	536429	12185825887188140204840	23	15.341796019758	12185825887188140204839,-12185825887188140204840,16637912823380737522,-16637912823380201093
4	9066173	306506	421253455530030676493	21	13.667119474424	-421253455530030676492,421253455530030676493,-760893696319485190,760893696319178684
5	642838	91379	8080055	7	1.099312775733	-8080055,8080054,50005,41374
6	860738	84107	1716024820458343265	19	12.299652588470	-1716024820458343264,1716024820458343265,-5917080720390700,5917080720306593
7	2772392	76043	9473375	7	0.533650092051	-9473374,9473375,-11596,-64447
8	5666297	73580	785793224	9	2.142008945106	-785793223,785793224,-2933578,2859998
9	512096	73025	45536713808156366	17	10.949010302658	-45536713808156365,45536713808156366,-168510087259822,168510087186797
10	3162334	67337	9364853	7	0.471493227232	9364852,-9364853,64075,3262
11	4866277	60794	884295880805411	15	8.259400775637	884295880805410,-884295880805411,3586470360868,-3586470300074
12	17230	54653	241900103	9	4.147350775835	241900102,-241900103,1061941,-1007288
13	671405	51152	31676780	8	1.673756457223	-31676779,31676780,113702,-164854
14	123260	28361	14613302	8	2.073926196164	-14613301,14613302,-100567,72206
15	488281	28250	28710938	8	1.769377555998	28710937,-28710938,184750,-156500
16	2348483	24476	7056223829085407	16	9.477784927715	-7056223829085406,7056223829085407,-45102656940193,45102656915717
17	4975628	19241	3855653	7	-0.110749961642	-3855652,3855653,-36856,17615
18	360724	16385	16912541	8	1.671033824305	-16912541,16912540,140233,-123848
19	257575	8282	1423040	7	0.742313399271	-1423040,1423039,19594,-11312
20	273182	7313	20648991590	11	4.878446767164	-20648991589,20648991590,241459604,-241466917
# largest_H
rank	n	d	H	H_digits	log10_H_over_n	xs
1	5547010	536429	12185825887188140204840	23	15.341796019758	12185825887188140204839,-12185825887188140204840,16637912823380737522,-16637912823380201093
2	9066173	306506	421253455530030676493	21	13.667119474424	-421253455530030676492,421253455530030676493,-760893696319485190,760893696319178684
3	860738	84107	1716024820458343265	19	12.299652588470	-1716024820458343264,1716024820458343265,-5917080720390700,5917080720306593
4	576356	2969	1684967281877692544	19	12.465900653681	-1684967281877692543,1684967281877692544,-30923338433697652,30923338433694683
5	3540506	1481	824030984181472799	18	11.366878207091	-824030984181472798,824030984181472799,-21412432777283476,21412432777281995
6	2870752	1481	408152035984173128	18	11.152826291169	408152035984173127,-408152035984173128,10605824539600240,-10605824539598759
7	7357550	1409	140496388480224626	18	10.280931938525	-140496388480224625,140496388480224626,3742912410350183,-3742912410351592
8	1950070	2549	75072175670760923	17	10.585428801219	-75072175670760923,75072175670760922,1486942191609745,-1486942191607196
9	512096	73025	45536713808156366	17	10.949010302658	-45536713808156365,45536713808156366,-168510087259822,168510087186797
10	8290894	3299	7679995292785463	16	8.966759591167	-7679995292785463,7679995292785462,133711818735046,-133711818731747
11	2348483	24476	7056223829085407	16	9.477784927715	-7056223829085406,7056223829085407,-45102656940193,45102656915717
12	4540000	2129	5225827974573293	16	9.061099256529	5225827974573292,-5225827974573293,-113257580245235,113257580247364
