n avg model
10000 31.698800000000 30.366708706205
20000 35.038500000000 31.667019635984
30000 34.285600000000 32.410172334209
40000 34.203550000000 32.930122269595
50000 34.206160000000 33.329410503938
60000 34.160033333333 33.653126761420
70000 34.217028571429 33.925095151648
80000 34.317400000000 34.159429159279
90000 34.386155555556 34.365175153147
100000 34.443700000000 34.548476794279
110000 34.605072727273 34.713695586830
120000 34.651566666667 34.864038533354
130000 34.997030769231 35.001931989512
140000 35.059828571429 35.129255625779
150000 35.171946666667 35.247494917309
160000 35.275650000000 35.357843976245
170000 35.360035294118 35.461276935714
180000 35.456522222222 35.558598755391
190000 35.521484210526 35.650482175296
200000 35.636450000000 35.737495112673
210000 35.695761904762 35.820121320095
220000 35.724581818182 35.898776199245
230000 35.779852173913 35.973819071557
240000 35.828625000000 36.045562816790
250000 35.886344000000 36.114281528678
260000 35.980361538462 36.180216657463
270000 36.046488888889 36.243581984260
280000 36.127185714286 36.304567683880
290000 36.179875862069 36.363343669291
300000 36.222500000000 36.420062364817
310000 36.245974193548 36.474861021207
320000 36.291025000000 36.527863660394
330000 36.339933333333 36.579182718782
340000 36.366541176471 36.628920443392
350000 36.383491428571 36.677170084137
360000 36.412888888889 36.724016916896
370000 36.484194594595 36.769539125393
380000 36.525368421053 36.813808564602
390000 36.559974358974 36.856891424280
400000 36.589920000000 36.898848807866
410000 36.604868292683 36.939737239394
420000 36.627580952381 36.979609108871
430000 36.636055813953 37.018513064875
440000 36.665163636364 37.056494361689
450000 36.716808888889 37.093595167154
460000 36.756156521739 37.129854836433
470000 36.787680851064 37.165310156126
480000 36.810883333333 37.199995562508
490000 36.898632653061 37.233943337092
500000 36.923976000000 37.267183782307
510000 36.951670588235 37.299745379645
520000 37.126423076923 37.331654932349
530000 37.146996226415 37.362937694414
540000 37.173500000000 37.393617487440
550000 37.197723636364 37.423716806692
560000 37.213178571429 37.453256917533
570000 37.233789473684 37.482257943264
580000 37.265758620690 37.510738945268
590000 37.281257627119 37.538717996261
600000 37.308113333333 37.566212247336
610000 37.322780327869 37.593237989431
620000 37.346412903226 37.619810709765
630000 37.357374603175 37.645945143722
640000 37.387075000000 37.671655322627
650000 37.551196923077 37.696954617784
660000 37.563639393939 37.721855781140
670000 37.579092537313 37.746370982857
680000 37.669152941176 37.770511846091
690000 37.689440579710 37.794289479209
700000 37.703708571429 37.817714505676
710000 37.723873239437 37.840797091801
720000 37.736530555556 37.863546972539
730000 37.756758904110 37.885973475489
740000 37.784932432432 37.908085543258
750000 37.803541333333 37.929891754311
760000 37.822597368421 37.951400342423
770000 37.832228571429 37.972619214866
780000 37.841953846154 37.993555969396
790000 37.850387341772 38.014217910167
800000 37.862775000000 38.034612062629
810000 37.880503703704 38.054745187489
820000 37.894795121951 38.074623793825
830000 37.918496385542 38.094254151384
840000 37.923578571429 38.113642302147
850000 37.942882352941 38.132794071201
860000 37.954355813953 38.151715076978
870000 38.062140229885 38.170410740884
880000 38.080463636364 38.188886296393
890000 38.102334831461 38.207146797602
900000 38.113282222222 38.225197127326
910000 38.120305494505 38.243042004728
920000 38.128802173913 38.260685992531
930000 38.139492473118 38.278133503848
940000 38.153208510638 38.295388808631
950000 38.160484210526 38.312456039781
960000 38.174785416667 38.329339198942
970000 38.191670103093 38.346042161984
980000 38.196977551020 38.362568684208
990000 38.203258585859 38.378922405281
1000000 38.215926000000 38.395106853928
1010000 38.227275247525 38.411125452383
1020000 38.238256862745 38.426981520618
1030000 38.257207766990 38.442678280371
1040000 38.268040384615 38.458218858974
1050000 38.280520000000 38.473606292996
1060000 38.293003773585 38.488843531714
1070000 38.307375700935 38.503933440416
1080000 38.315505555556 38.518878803558
1090000 38.839587155963 38.533682327764
1100000 38.841741818182 38.548346644696
1110000 38.850762162162 38.562874313787
1120000 38.860273214286 38.577267824858
1130000 38.865150442478 38.591529600611
1140000 38.870680701754 38.605661999016
1150000 38.873606956522 38.619667315587
1160000 38.881527586207 38.633547785570
1170000 38.886211965812 38.647305586023
1180000 38.889145762712 38.660942837817
1190000 38.897018487395 38.674461607547
1200000 38.901191666667 38.687863909366
1210000 38.903712396694 38.701151706738
1220000 38.910214754098 38.714326914118
1230000 38.922154471545 38.727391398575
1240000 38.928120967742 38.740346981327
1250000 38.931670400000 38.753195439239
1260000 38.936412698413 38.765938506236
1270000 38.945064566929 38.778577874683
1280000 38.949692187500 38.791115196692
1290000 38.957217054264 38.803552085389
1300000 38.969507692308 38.815890116128
1310000 38.977383206107 38.828130827657
1320000 38.985913636364 38.840275723241
1330000 38.992174436090 38.852326271742
1340000 39.000295522388 38.864283908662
1350000 39.005844444444 38.876150037135
1360000 39.009279411765 38.887926028900
1370000 39.015889051095 38.899613225221
1380000 39.023943478261 38.911212937785
1390000 39.029545323741 38.922726449562
1400000 39.039935714286 38.934155015635
1410000 39.046507801418 38.945499864001
1420000 39.050842253521 38.956762196344
1430000 39.059497902098 38.967943188775
1440000 39.067955555556 38.979043992558
1450000 39.078102068966 38.990065734797
1460000 39.081638356164 39.001009519110
1470000 39.090478911565 39.011876426271
1480000 39.104537837838 39.022667514841
1490000 39.112114093960 39.033383821765
1500000 39.122974666667 39.044026362957
1510000 39.132739072848 39.054596133868
1520000 39.141626315789 39.065094110022
1530000 39.147661437908 39.075521247550
1540000 39.156779220779 39.085878483700
1550000 39.166276129032 39.096166737322
1560000 39.171721794872 39.106386909353
1570000 39.176064968153 39.116539883278
1580000 39.181386075949 39.126626525570
1590000 39.191550943396 39.136647686131
1600000 39.197592500000 39.146604198707
1610000 39.209288198758 39.156496881293
1620000 39.216285185185 39.166326536530
1630000 39.222328834356 39.176093952081
1640000 39.231402439024 39.185799901005
1650000 39.235712727273 39.195445142114
1660000 39.241430120482 39.205030420316
1670000 39.250506586826 39.214556466959
1680000 39.262608333333 39.224024000151
1690000 39.275271005917 39.233433725080
1700000 39.279654117647 39.242786334321
1710000 39.284632748538 39.252082508133
1720000 39.288731395349 39.261322914751
1730000 39.298031213873 39.270508210666
1740000 39.302542528736 39.279639040895
1750000 39.312785142857 39.288716039251
1760000 39.316737500000 39.297739828599
1770000 39.320971751412 39.306711021103
1780000 39.328719101124 39.315630218473
1790000 39.337698324022 39.324498012199
1800000 39.347998888889 39.333314983781
1810000 39.351348066298 39.342081704954
1820000 39.357157142857 39.350798737901
1830000 39.364497267760 39.359466635467
1840000 39.372209782609 39.368085941365
1850000 39.380704864865 39.376657190373
1860000 39.388690322581 39.385180908530
1870000 39.395731550802 39.393657613322
1880000 39.398706382979 39.402087813871
1890000 39.405742857143 39.410472011111
1900000 39.411117894737 39.418810697960
1910000 39.416641884817 39.427104359495
1920000 39.421459375000 39.435353473111
1930000 39.426667357513 39.443558508689
1940000 39.434481443299 39.451719928745
1950000 39.441813333333 39.459838188589
1960000 39.447657142857 39.467913736468
1970000 39.450768527919 39.475947013717
1980000 39.461207070707 39.483938454895
1990000 39.463367839196 39.491888487925
2000000 39.467293000000 39.499797534229
2010000 39.476350248756 39.507666008855
2020000 39.479254455446 39.515494320609
2030000 39.483669950739 39.523282872178
2040000 39.492046078431 39.531032060247
2050000 39.496890731707 39.538742275626
2060000 39.503404854369 39.546413903355
2070000 39.508204830918 39.554047322826
2080000 39.514006730769 39.561642907886
2090000 39.519036363636 39.569201026947
2100000 39.523627619048 39.576722043093
2110000 39.530218957346 39.584206314176
2120000 39.536425471698 39.591654192920
2130000 39.543177464789 39.599066027020
