n mean median p90 p99 p999 max
5000 31.69880000 14 67 264 926 2759
15000 38.37820000 17 71 269 606 54653
25000 32.77980000 17 71 260 653 1427
35000 33.95740000 17 74 284 618 1094
45000 34.21660000 18 77 255 677 1049
55000 33.92940000 18 78 260 583 1103
65000 34.55900000 18 77 277 618 1262
75000 35.02000000 18 79 263 662 998
85000 34.93620000 19 80 257 617 926
95000 34.96160000 19 78 268 620 1136
105000 36.21880000 19 83 269 701 2384
115000 35.16300000 19 80 269 627 1019
125000 39.14260000 19 85 291 669 28361
135000 35.87620000 19 80 284 701 1058
145000 36.74160000 19 83 270 762 2144
155000 36.83120000 19 85 281 743 1262
165000 36.71020000 19 83 284 668 1481
175000 37.09680000 19 86 281 767 6497
185000 36.69080000 19 85 274 617 1745
195000 37.82080000 19 86 309 674 1451
205000 36.88200000 19 82 281 599 1919
215000 36.32980000 19 84 281 614 1418
225000 36.99580000 19 86 284 600 1070
235000 36.95040000 19 86 278 758 1556
245000 37.27160000 19 86 285 596 1871
255000 38.33080000 19 86 291 842 8282
265000 37.76580000 19 86 302 620 2615
275000 38.30600000 19 86 293 824 7313
285000 37.65520000 19 86 291 674 1115
295000 37.45860000 20 86 287 641 1514
305000 36.95020000 19 86 268 681 1289
315000 37.68760000 20 87 302 617 980
325000 37.90500000 19 87 284 692 1070
335000 37.24460000 20 86 281 617 1409
345000 36.95980000 19 86 277 599 1049
355000 37.44180000 20 86 296 683 974
365000 39.05120000 20 86 281 569 16385
375000 38.04880000 20 89 291 695 1460
385000 37.87500000 19 89 278 617 1535
395000 37.75780000 20 89 284 662 1103
405000 37.20280000 20 86 277 674 1310
415000 37.55880000 20 88 281 575 1283
425000 36.99200000 20 86 263 599 977
435000 37.91680000 20 86 293 641 1838
445000 38.98920000 20 87 317 704 1397
455000 38.52680000 20 86 296 758 1401
465000 38.23780000 20 88 284 767 1094
475000 37.90140000 20 89 276 662 1031
485000 41.11060000 20 88 290 674 28250
495000 38.16580000 20 88 284 629 3578
505000 38.33640000 20 87 298 632 2837
515000 46.03880000 20 89 302 653 73025
525000 38.21680000 20 87 291 716 1346
535000 38.57820000 20 89 295 662 2102
545000 38.50580000 20 89 281 800 2066
555000 38.06320000 20 87 296 666 1439
565000 38.38800000 20 88 284 746 1499
575000 39.08800000 20 91 302 762 2969
585000 38.18020000 20 91 281 596 1607
595000 38.89260000 20 88 308 716 1187
605000 38.20280000 20 86 293 665 1412
615000 38.78800000 20 89 295 743 1514
625000 38.03700000 20 89 284 596 1004
635000 39.25820000 21 89 296 662 1352
645000 48.05500000 20 89 296 704 91379
655000 38.37240000 20 88 296 671 974
665000 38.59900000 20 88 281 710 2591
675000 43.70320000 20 91 284 636 51152
685000 39.06900000 20 89 302 696 1082
695000 38.68820000 20 89 302 692 1250
705000 39.13540000 20 92 303 647 1163
715000 38.63520000 21 88 284 653 1247
725000 39.21320000 20 89 296 707 2102
735000 39.84160000 20 92 309 722 1346
745000 39.18060000 20 89 293 737 998
755000 39.25180000 20 92 295 641 1544
765000 38.56420000 20 92 263 617 1646
775000 38.59080000 20 92 281 662 1187
785000 38.50820000 21 88 293 590 1121
795000 38.84140000 20 89 296 617 1244
805000 39.29880000 20 91 299 683 1676
815000 39.05240000 21 92 281 641 1751
825000 39.86200000 20 92 302 593 6854
835000 38.34540000 21 89 278 542 1283
