n d
5000 11
10000 141
15000 61
20000 29
25000 3
30000 7
35000 59
40000 17
45000 79
50000 59
55000 3
60000 19
65000 29
70000 33
75000 31
80000 11
85000 23
90000 7
95000 89
100000 69
105000 43
110000 29
115000 93
120000 31
125000 17
130000 29
135000 37
140000 83
145000 3
150000 43
155000 29
160000 3
165000 19
170000 23
175000 53
180000 31
185000 113
190000 33
195000 7
200000 47
205000 33
210000 7
215000 23
220000 113
225000 37
230000 17
235000 3
240000 13
245000 11
250000 63
255000 67
260000 23
265000 47
270000 73
275000 83
280000 3
285000 7
290000 11
295000 3
300000 79
305000 11
310000 251
315000 7
320000 23
325000 39
330000 43
335000 11
340000 33
345000 7
350000 23
355000 41
360000 37
365000 17
370000 3
375000 43
380000 17
385000 51
390000 13
395000 11
400000 101
405000 7
410000 11
415000 3
420000 7
425000 11
430000 93
435000 31
440000 17
445000 71
450000 7
455000 59
460000 3
465000 43
470000 11
475000 51
480000 13
485000 17
490000 23
495000 7
500000 107
505000 3
510000 7
515000 17
520000 3
525000 7
530000 17
535000 11
540000 13
545000 29
550000 3
555000 7
560000 17
565000 21
570000 127
575000 47
580000 89
585000 13
590000 113
595000 3
600000 13
605000 23
610000 33
615000 19
620000 11
625000 41
630000 13
635000 17
640000 39
645000 31
650000 71
655000 3
660000 37
665000 29
670000 83
675000 31
680000 29
685000 21
690000 19
695000 17
700000 3
705000 31
710000 29
715000 89
720000 7
725000 41
730000 3
735000 7
740000 11
745000 267
750000 43
755000 101
760000 113
765000 7
770000 107
775000 3
780000 37
785000 11
790000 63
795000 37
800000 23
805000 173
810000 13
815000 659
820000 3
825000 7
830000 11
835000 3
840000 7
845000 41
850000 53
855000 19
860000 23
865000 3
870000 13
875000 17
880000 87
885000 181
890000 23
895000 23
900000 13
905000 71
910000 3
915000 37
920000 29
925000 3
930000 13
935000 29
940000 173
945000 7
950000 83
955000 39
960000 31
965000 23
970000 219
975000 7
980000 17
985000 71
990000 67
995000 41
1000000 3
1005000 67
1010000 53
1015000 69
1020000 7
1025000 149
1030000 41
1035000 7
1040000 71
1045000 21
1050000 7
1055000 11
1060000 33
1065000 37
1070000 11
1075000 83
1080000 157
1085000 11
1090000 27
1095000 43
1100000 47
1105000 3
1110000 151
1115000 11
1120000 161
1125000 13
1130000 149
1135000 27
1140000 7
1145000 83
1150000 51
1155000 7
1160000 11
1165000 113
1170000 31
1175000 233
1180000 33
1185000 7
1190000 29
1195000 27
1200000 13
1205000 17
1210000 299
1215000 13
1220000 47
1225000 21
1230000 7
1235000 11
1240000 237
1245000 7
1250000 11
1255000 17
1260000 13
1265000 59
1270000 3
1275000 31
1280000 11
1285000 87
1290000 37
1295000 11
1300000 41
1305000 79
1310000 89
1315000 39
1320000 13
1325000 11
1330000 3
1335000 67
1340000 107
1345000 11
1350000 37
1355000 29
1360000 21
